date,cto,cloud,tr_product_pillar_team,tr_subpillar_name,tr_product_id,tr_product,application,service_name,managed_service,environment,cost
2024-02-01,Technology,AWS,Platform,Core,12,Commerce Platform,E-commerce,Web Store,Redshift,PROD,160.47
2024-02-01,Infrastructure,Azure,Platform,Core,32,Item Checkout,E-commerce,Checkout Service,Virtual Machines,PROD,121.94
2024-02-01,Engineering,GCP,Platform,Core,32,Item Checkout,E-commerce,Checkout Service,Cloud Functions,NON-PROD,104.13
2024-02-01,Technology,GCP,Platform,Identity,135,Identity Service,Auth System,User Auth,Cloud Storage,PROD,253.51
2024-02-01,Infrastructure,Azure,Platform,Identity,135,Identity Service,Auth System,User Auth,Virtual Machines,PROD,258.61
2024-02-01,Engineering,AWS,Platform,Identity,135,Identity Service,Auth System,User Auth,EC2,NON-PROD,72.79
2024-02-01,Technology,GCP,Platform,Identity,135,Identity Service,Auth System,User Auth,Cloud Storage,NON-PROD,73.56
2024-02-01,Technology,AWS,Data,Analytics,246,Data Analytics,Business Intel,Reports,DynamoDB,PROD,85.89
2024-02-01,Engineering,GCP,Financial,Payments,347,Payment Gateway,Payments,Transaction Processing,Cloud Storage,NON-PROD,113.97
2024-02-01,Infrastructure,Azure,Content,API,498,Content API,Content Management,API Gateway,Blob Storage,PROD,282.08
2024-02-01,Engineering,Azure,Content,API,498,Content API,Content Management,API Gateway,CosmosDB,NON-PROD,79.29
2024-02-01,Engineering,GCP,Mobile,Apps,512,Mobile App,Mobile Client,iOS App,Cloud Functions,PROD,88.91
2024-02-01,Technology,Azure,Mobile,Apps,512,Mobile App,Mobile Client,iOS App,CosmosDB,PROD,205.49
2024-02-01,Engineering,AWS,Mobile,Apps,512,Mobile App,Mobile Client,iOS App,RDS,NON-PROD,115.72
2024-02-01,Infrastructure,AWS,Platform,Search,634,Search Engine,Search Service,Query Engine,S3,PROD,227.67
2024-02-01,Infrastructure,GCP,Platform,Search,634,Search Engine,Search Service,Query Engine,Compute Engine,PROD,82.64
2024-02-01,Technology,Azure,Platform,Search,634,Search Engine,Search Service,Query Engine,Synapse,PROD,83.83
2024-02-01,Technology,AWS,Platform,Search,634,Search Engine,Search Service,Query Engine,Fargate,NON-PROD,56.83
2024-02-01,Infrastructure,GCP,Platform,Search,634,Search Engine,Search Service,Query Engine,Firestore,NON-PROD,74.91
2024-02-01,Engineering,Azure,AI,Recommendations,789,Recommendation Engine,ML Services,Product Recommendations,Blob Storage,PROD,267.24
2024-02-01,Infrastructure,GCP,AI,Recommendations,789,Recommendation Engine,ML Services,Product Recommendations,Firestore,NON-PROD,111.09
2024-02-01,Technology,AWS,Marketing,Analytics,891,Marketing Analytics,Marketing Platform,Campaign Analytics,Redshift,PROD,87.96
2024-02-01,Technology,AWS,Data,Storage,967,Customer Database,CRM,Customer Store,Redshift,NON-PROD,111.69
2024-02-01,Technology,Azure,Security,Core,1204,Security Service,Security Platform,Threat Detection,Synapse,PROD,166.25
2024-02-01,Engineering,AWS,Platform,Messaging,3544,Notification Service,Notifications,Push Service,Redshift,PROD,292.89
2024-02-02,Technology,AWS,Platform,Core,12,Commerce Platform,E-commerce,Web Store,Redshift,PROD,127.36
2024-02-02,Engineering,GCP,Platform,Core,12,Commerce Platform,E-commerce,Web Store,Compute Engine,NON-PROD,76.82
2024-02-02,Technology,AWS,Platform,Core,32,Item Checkout,E-commerce,Checkout Service,EC2,PROD,125.26
2024-02-02,Technology,Azure,Platform,Core,32,Item Checkout,E-commerce,Checkout Service,Synapse,PROD,297.44
2024-02-02,Engineering,GCP,Platform,Core,32,Item Checkout,E-commerce,Checkout Service,BigQuery,NON-PROD,31.42
2024-02-02,Technology,AWS,Platform,Identity,135,Identity Service,Auth System,User Auth,Redshift,PROD,157.96
2024-02-02,Infrastructure,GCP,Platform,Identity,135,Identity Service,Auth System,User Auth,Cloud Functions,NON-PROD,70.59
2024-02-02,Engineering,Azure,Data,Analytics,246,Data Analytics,Business Intel,Reports,Synapse,PROD,213.51
2024-02-02,Infrastructure,AWS,Data,Analytics,246,Data Analytics,Business Intel,Reports,RDS,NON-PROD,79.26
